"mturk_id","trial_type","stim_type","train_type","category_type","dimension","z"
36,"XAB","HD","CONTROL","WITHIN","shape-relevant",0.333532302040711
37,"Same-Different","LD","TRAIN","BETWEEN","shape-relevant",-0.366783918100022
37,"Same-Different","LD","TRAIN","WITHIN","shape-relevant",0.170192716372819
38,"XAB","LD","TRAIN","BETWEEN","shape-relevant",0.565211866274385
38,"XAB","LD","TRAIN","WITHIN","shape-relevant",0.0657208935417539
39,"XAB","LD","CONTROL","BETWEEN","shape-relevant",-0.220247220618149
39,"XAB","LD","CONTROL","WITHIN","shape-relevant",0.033946658635098
40,"Similarity","LD","TRAIN","BETWEEN","shape-relevant",0.781819759921035
40,"Similarity","LD","TRAIN","WITHIN","shape-relevant",0.88938079749259
41,"Similarity","HD","TRAIN","BETWEEN","shape-relevant",0.606799089013104
41,"Similarity","HD","TRAIN","WITHIN","shape-relevant",0.852354622769163
42,"XAB","HD","TRAIN","BETWEEN","shape-relevant",0.00984206663694532
42,"XAB","HD","TRAIN","WITHIN","shape-relevant",0.208704950621706
43,"Similarity","HD","TRAIN","BETWEEN","shape-relevant",0.517452872395768
43,"Similarity","HD","TRAIN","WITHIN","shape-relevant",0.329668456256789
44,"Same-Different","HD","CONTROL","BETWEEN","shape-relevant",-0.167903683110081
44,"Same-Different","HD","CONTROL","WITHIN","shape-relevant",0.67733731559717
45,"Similarity","LD","CONTROL","BETWEEN","shape-relevant",-0.0958625705385948
45,"Similarity","LD","CONTROL","WITHIN","shape-relevant",0.0445108106216694
46,"Same-Different","HD","CONTROL","BETWEEN","shape-relevant",-0.0713047118292522
46,"Same-Different","HD","CONTROL","WITHIN","shape-relevant",0.373050556062559
47,"Same-Different","HD","TRAIN","BETWEEN","shape-relevant",0.282891516200453
47,"Same-Different","HD","TRAIN","WITHIN","shape-relevant",0.446817043222465
48,"XAB","LD","TRAIN","BETWEEN","shape-relevant",-0.0876243270947157
48,"XAB","LD","TRAIN","WITHIN","shape-relevant",0.033946658635098
49,"Same-Different","LD","TRAIN","BETWEEN","shape-relevant",-0.235522963006661
49,"Same-Different","LD","TRAIN","WITHIN","shape-relevant",-0.699198025154638
50,"Similarity","HD","CONTROL","BETWEEN","shape-relevant",0.101203244815199
50,"Similarity","HD","CONTROL","WITHIN","shape-relevant",0.434575951306498
51,"Similarity","HD","CONTROL","BETWEEN","shape-relevant",-0.11828654760547
51,"Similarity","HD","CONTROL","WITHIN","shape-relevant",-0.493855379883429
52,"XAB","HD","TRAIN","BETWEEN","shape-relevant",0.0589121289188992
52,"XAB","HD","TRAIN","WITHIN","shape-relevant",0.094732151500005
53,"Similarity","HD","CONTROL","BETWEEN","shape-relevant",1.22695537485383
53,"Similarity","HD","CONTROL","WITHIN","shape-relevant",0.548335016251026
54,"Same-Different","HD","TRAIN","BETWEEN","shape-relevant",0.757412778632593
54,"Same-Different","HD","TRAIN","WITHIN","shape-relevant",0.459989630215305
55,"Similarity","HD","CONTROL","BETWEEN","shape-relevant",0.34999428342267
55,"Similarity","HD","CONTROL","WITHIN","shape-relevant",-0.223718580130428
56,"XAB","LD","TRAIN","BETWEEN","shape-relevant",0.0619079853529554
56,"XAB","LD","TRAIN","WITHIN","shape-relevant",0.418414901005634
57,"Similarity","HD","CONTROL","BETWEEN","shape-relevant",0.727005593757562
57,"Similarity","HD","CONTROL","WITHIN","shape-relevant",0.693625936241746
58,"Same-Different","HD","CONTROL","BETWEEN","shape-relevant",-0.247455777106057
58,"Same-Different","HD","CONTROL","WITHIN","shape-relevant",-0.119604197469666
59,"Same-Different","HD","TRAIN","BETWEEN","shape-relevant",-0.0967254937452597
59,"Same-Different","HD","TRAIN","WITHIN","shape-relevant",-0.0552048832824474
60,"Similarity","LD","CONTROL","BETWEEN","shape-relevant",0.283490424953658
60,"Similarity","LD","CONTROL","WITHIN","shape-relevant",0.0632342739761298
61,"Similarity","LD","TRAIN","BETWEEN","shape-relevant",0.574327721497717
61,"Similarity","LD","TRAIN","WITHIN","shape-relevant",0.448813397063244
62,"Similarity","LD","TRAIN","BETWEEN","shape-relevant",0.369533304375678
62,"Similarity","LD","TRAIN","WITHIN","shape-relevant",-0.0501583861143651
63,"Similarity","LD","TRAIN","BETWEEN","shape-relevant",0.669135426651337
63,"Similarity","LD","TRAIN","WITHIN","shape-relevant",0.588543127864747
64,"Same-Different","LD","CONTROL","BETWEEN","shape-relevant",-0.280602482937714
64,"Same-Different","LD","CONTROL","WITHIN","shape-relevant",-0.375963005868789
65,"Similarity","LD","CONTROL","BETWEEN","shape-relevant",0.631176631933309
65,"Similarity","LD","CONTROL","WITHIN","shape-relevant",0.277870380575994
66,"XAB","HD","TRAIN","BETWEEN","shape-relevant",0.161043598261722
66,"XAB","HD","TRAIN","WITHIN","shape-relevant",0.00355391220264467
67,"Similarity","HD","TRAIN","BETWEEN","shape-relevant",0.486046191065261
67,"Similarity","HD","TRAIN","WITHIN","shape-relevant",0.422830873056367
68,"Same-Different","LD","CONTROL","BETWEEN","shape-relevant",-0.539809722541271
68,"Same-Different","LD","CONTROL","WITHIN","shape-relevant",-0.210165733045443
69,"Same-Different","HD","TRAIN","BETWEEN","shape-relevant",-0.0967254937452597
69,"Same-Different","HD","TRAIN","WITHIN","shape-relevant",0.170192716372819
70,"Same-Different","HD","TRAIN","BETWEEN","shape-relevant",0.110528645875837
70,"Same-Different","HD","TRAIN","WITHIN","shape-relevant",0.930909615209345
71,"Same-Different","LD","TRAIN","BETWEEN","shape-relevant",0.373050556062559
71,"Same-Different","LD","TRAIN","WITHIN","shape-relevant",0.057493916545186
72,"Same-Different","LD","TRAIN","BETWEEN","shape-relevant",0.84638551533862
72,"Same-Different","LD","TRAIN","WITHIN","shape-relevant",0.707169350845661
73,"XAB","HD","TRAIN","BETWEEN","shape-relevant",-0.452337284284157
73,"XAB","HD","TRAIN","WITHIN","shape-relevant",-1.20280433080859
74,"XAB","HD","CONTROL","BETWEEN","shape-relevant",0.410349133683176
74,"XAB","HD","CONTROL","WITHIN","shape-relevant",0.453366559402956
75,"XAB","HD","CONTROL","BETWEEN","shape-relevant",0.033946658635098
75,"XAB","HD","CONTROL","WITHIN","shape-relevant",-0.0876243270947157
76,"XAB","LD","CONTROL","BETWEEN","shape-relevant",0.133808539770302
76,"XAB","LD","CONTROL","WITHIN","shape-relevant",0.033946658635098
77,"XAB","LD","TRAIN","BETWEEN","shape-relevant",0.368266869392086
77,"XAB","LD","TRAIN","WITHIN","shape-relevant",0.31355992581367
78,"Similarity","HD","TRAIN","BETWEEN","shape-relevant",0.74105570470172
78,"Similarity","HD","TRAIN","WITHIN","shape-relevant",0.686728609050978
79,"Similarity","LD","CONTROL","BETWEEN","shape-relevant",0.414804923393283
79,"Similarity","LD","CONTROL","WITHIN","shape-relevant",0.11067406034052
80,"Same-Different","LD","TRAIN","BETWEEN","shape-relevant",0.282891516200453
80,"Same-Different","LD","TRAIN","WITHIN","shape-relevant",0.423765015984995
81,"Similarity","HD","TRAIN","BETWEEN","shape-relevant",0.374581977574945
81,"Similarity","HD","TRAIN","WITHIN","shape-relevant",0.411778745651465
82,"Similarity","LD","CONTROL","BETWEEN","shape-relevant",0.874233726014825
82,"Similarity","LD","CONTROL","WITHIN","shape-relevant",0.724988141929683
83,"Similarity","HD","TRAIN","BETWEEN","shape-relevant",0.794408659327001
83,"Similarity","HD","TRAIN","WITHIN","shape-relevant",0.552824943009268
84,"Same-Different","LD","CONTROL","BETWEEN","shape-relevant",0.50828911585572
84,"Same-Different","LD","CONTROL","WITHIN","shape-relevant",0.170192716372819
85,"Same-Different","HD","CONTROL","BETWEEN","shape-relevant",-0.210165733045443
85,"Same-Different","HD","CONTROL","WITHIN","shape-relevant",0.248214962407335
86,"XAB","LD","CONTROL","BETWEEN","shape-relevant",0.470842388601617
86,"XAB","LD","CONTROL","WITHIN","shape-relevant",0.291485194194309
87,"XAB","HD","TRAIN","BETWEEN","shape-relevant",-0.00100499976222333
87,"XAB","HD","TRAIN","WITHIN","shape-relevant",0.266957714617241
88,"Similarity","LD","TRAIN","BETWEEN","shape-relevant",-0.0251436787863353
88,"Similarity","LD","TRAIN","WITHIN","shape-relevant",-0.413863414908026
